,seat_nmr,party,district,mp,color,seat_x,seat_y
54,55,CH,,,#202056,5.260536289637187,1.21932684109316
55,56,CH,,,#202056,5.161282279910983,1.5878177562544413
56,57,CH,,,#202056,5.036250724972708,1.948378463033266
57,58,IL,,,#00AFF1,4.886066083316506,2.2992081744513926
58,59,IL,,,#00AFF1,4.711478438193105,2.638554704083557
59,60,IL,,,#00AFF1,4.51335975138866,2.964723217189912
60,61,PSD,,,#F28C26,4.050599776004482,3.57108407274772
61,62,PSD,,,#F28C26,3.7882696991626212,3.84824800219611
62,63,PSD,,,#F28C26,3.507019460982992,4.106192214240167
63,64,PSD,,,#F28C26,3.208253739671008,4.343628430458456
64,65,PSD,,,#F28C26,2.8934646928865817,4.559370797710882
65,66,PSD,,,#F28C26,2.5642245053012105,4.752341810772113
66,67,PSD,,,#F28C26,2.222177536467587,4.921577693831405
67,68,PSD,,,#F28C26,1.8690321082184624,5.066233213981415
68,69,PSD,,,#F28C26,1.5065519726118382,5.185585902655493
69,70,PSD,,,#F28C26,1.1365475030350505,5.27903966392987
70,71,PSD,,,#F28C26,0.760866652462946,5.346127751669411
71,72,PSD,,,#F28C26,0.3813857240283007,5.386515100647858
72,73,PS,,,#F74B71,-0.3813857240283,5.386515100647858
73,74,PS,,,#F74B71,-0.7608666524629466,5.346127751669411
74,75,PS,,,#F74B71,-1.136547503035051,5.27903966392987
75,76,PS,,,#F74B71,-1.5065519726118384,5.185585902655493
76,77,PS,,,#F74B71,-1.8690321082184618,5.066233213981415
77,78,PS,,,#F74B71,-2.2221775364675875,4.921577693831405
78,79,PS,,,#F74B71,-2.5642245053012123,4.752341810772112
79,80,PS,,,#F74B71,-2.8934646928865835,4.559370797710881
80,81,PS,,,#F74B71,-3.208253739671008,4.343628430458457
81,82,PS,,,#F74B71,-3.5070194609829914,4.106192214240168
82,83,PS,,,#F74B71,-3.7882696991626212,3.84824800219611
83,84,PS,,,#F74B71,-4.050599776004482,3.57108407274772
84,85,PS,,,#F74B71,-4.51335975138866,2.964723217189911
85,86,PS,,,#F74B71,-4.711478438193105,2.6385547040835564
86,87,PS,,,#F74B71,-4.886066083316506,2.2992081744513917
87,88,PS,,,#F74B71,-5.036250724972709,1.9483784630332648
88,89,PS,,,#F74B71,-5.161282279910983,1.5878177562544427
89,90,BE,,,#000000,-5.260536289637187,1.2193268410931608
90,91,CH,,,#202056,6.251301640453583,1.371578579616325
91,92,CH,,,#202056,6.159713513303343,1.7372188791364753
92,93,CH,,,#202056,6.04675869738802,2.0968331491948384
93,94,PSD,,,#F28C26,5.912829008072236,2.449173967136575
94,95,PSD,,,#F28C26,5.583974445265902,3.1271759455805115
95,96,PSD,,,#F28C26,5.390190295784234,3.4504852666304013
96,97,PSD,,,#F28C26,5.177708763999664,3.761825614671828
97,98,PSD,,,#F28C26,4.699664060388388,4.344324771410827
98,99,PSD,,,#F28C26,4.43575912029207,4.61346301889868
99,100,PSD,,,#F28C26,4.156467509313176,4.8665981798401985
100,101,PSD,,,#F28C26,3.8627580285028573,5.102852184145326
101,102,PSD,,,#F28C26,3.236207189619101,5.5215000702578685
102,103,PSD,,,#F28C26,2.9055391983331,5.702441754805554
103,104,PSD,,,#F28C26,2.5647925318601033,5.86360292554967
104,105,PSD,,,#F28C26,2.2151491652959554,6.004424549903899
105,106,PS,,,#F74B71,1.494050328677795,6.22316749054513
106,107,PS,,,#F74B71,1.12509619157987,6.300330035775307
107,108,PS,,,#F74B71,0.7522393437301613,6.355638124511529
108,109,PS,,,#F74B71,0.37677314336760953,6.388899905182182
109,110,PS,,,#F74B71,-0.3767731433676087,6.388899905182182
110,111,PS,,,#F74B71,-0.7522393437301605,6.355638124511529
111,112,PS,,,#F74B71,-1.1250961915798692,6.300330035775307
112,113,PS,,,#F74B71,-1.4940503286777942,6.223167490545131
113,114,PS,,,#F74B71,-2.2151491652959545,6.004424549903899
114,115,PS,,,#F74B71,-2.5647925318601024,5.86360292554967
115,116,PS,,,#F74B71,-2.905539198333099,5.702441754805555
116,117,PS,,,#F74B71,-3.2362071896191007,5.5215000702578685
117,118,PS,,,#F74B71,-3.8627580285028573,5.102852184145326
118,119,PS,,,#F74B71,-4.156467509313175,4.866598179840199
119,120,PS,,,#F74B71,-4.435759120292069,4.613463018898681
120,121,PS,,,#F74B71,-4.699664060388389,4.344324771410827
121,122,PS,,,#F74B71,-5.1777087639996635,3.761825614671829
122,123,PS,,,#F74B71,-5.390190295784233,3.4504852666304027
123,124,PS,,,#F74B71,-5.583974445265901,3.1271759455805137
124,125,PS,,,#F74B71,-5.912829008072236,2.4491739671365753
125,126,PS,,,#F74B71,-6.046758697388019,2.0968331491948398
126,127,PS,,,#F74B71,-6.159713513303343,1.7372188791364747
127,128,PS,,,#F74B71,-6.251301640453583,1.371578579616325
128,129,PSD,,,#F28C26,7.045449726428607,1.4837918157096937
129,130,PSD,,,#F28C26,6.961586756724046,1.8374737626982256
130,131,PSD,,,#F28C26,6.8599808836048535,2.1864725647892262
131,132,PSD,,,#F28C26,6.740891068606108,2.5298987333856675
132,133,PSD,,,#F28C26,6.451517490974821,3.196548461019471
133,134,PSD,,,#F28C26,6.28197125092414,3.5180729387780754
134,135,PSD,,,#F28C26,6.096414234443646,3.8306309509104235
135,136,PSD,,,#F28C26,5.895319368228989,4.133425884975338
136,137,PSD,,,#F28C26,5.448604492659982,4.706666451169602
137,138,PSD,,,#F28C26,5.204123019557219,4.975651072705426
138,139,PSD,,,#F28C26,4.946377867451292,5.231954318644994
139,140,PSD,,,#F28C26,4.6760259479773225,5.474922952320223
140,141,PSD,,,#F28C26,4.393756303470458,5.703937722811637
141,142,PSD,,,#F28C26,3.796370047865448,6.117807978326068
142,143,PSD,,,#F28C26,3.482775987157727,6.301608637743026
143,144,PSD,,,#F28C26,3.160305421694067,6.469348471184025
144,145,PSD,,,#F28C26,2.8297802279082505,6.620599962370444
145,146,PS,,,#F74B71,2.4920428109579498,6.754977618641886
146,147,PS,,,#F74B71,1.7983906428040337,6.9717853592802825
147,148,PS,,,#F74B71,1.4442437936395645,7.053662868647296
148,149,PS,,,#F74B71,1.0864160195605304,7.1175628014399885
149,150,PS,,,#F74B71,0.7258193114472328,7.163322296751017
150,151,PS,,,#F74B71,0.3633727173252541,7.1908247279643565
151,152,PS,,,#F74B71,-0.3633727173252533,7.1908247279643565
152,153,PS,,,#F74B71,-0.7258193114472319,7.163322296751017
153,154,PS,,,#F74B71,-1.0864160195605295,7.1175628014399885
154,155,PS,,,#F74B71,-1.4442437936395636,7.053662868647296
155,156,PS,,,#F74B71,-1.7983906428040328,6.9717853592802825
156,157,PS,,,#F74B71,-2.492042810957949,6.754977618641886
157,158,PS,,,#F74B71,-2.8297802279082496,6.620599962370445
158,159,PS,,,#F74B71,-3.1603054216940647,6.469348471184027
159,160,PS,,,#F74B71,-3.4827759871577264,6.301608637743026
160,161,PS,,,#F74B71,-3.796370047865449,6.117807978326068
161,162,PS,,,#F74B71,-4.393756303470457,5.703937722811639
162,163,PS,,,#F74B71,-4.676025947977322,5.474922952320224
163,164,PS,,,#F74B71,-4.946377867451292,5.231954318644994
164,165,PS,,,#F74B71,-5.204123019557218,4.975651072705427
165,166,PS,,,#F74B71,-5.448604492659981,4.706666451169605
166,167,PS,,,#F74B71,-5.89531936822899,4.133425884975337
167,168,PS,,,#F74B71,-6.096414234443646,3.8306309509104244
168,169,PS,,,#F74B71,-6.281971250924138,3.5180729387780776
169,170,PS,,,#F74B71,-6.451517490974821,3.196548461019472
170,171,PS,,,#F74B71,-6.740891068606108,2.5298987333856684
171,172,PS,,,#F74B71,-6.859980883604853,2.1864725647892285
172,173,PS,,,#F74B71,-6.961586756724046,1.8374737626982263
173,174,PS,,,#F74B71,-7.045449726428607,1.483791815709693
174,175,PSD,,,#F28C26,7.840660488739148,1.5887237331659636
175,176,PSD,,,#F28C26,7.76542682612682,1.9230564755279396
176,177,PSD,,,#F28C26,7.675943788915979,2.2538604547314374
177,178,PSD,,,#F28C26,7.572375576363919,2.5805286532970713
178,179,PSD,,,#F28C26,7.454912233691618,2.902461642805128
179,180,PSD,,,#F28C26,7.1791874295308675,3.5297688099457702
180,181,PSD,,,#F28C26,7.021431916538045,3.8339918937604547
181,182,PSD,,,#F28C26,6.850792242012712,4.131179693111695
182,183,PSD,,,#F28C26,6.667581525722541,4.420786875415221
183,184,PSD,,,#F28C26,6.47213595499958,4.702282018339785
184,185,PSD,,,#F28C26,6.045996594834066,5.238885871562281
185,186,PSD,,,#F28C26,5.816084761040591,5.493009926478508
186,187,PSD,,,#F28C26,5.575500549242348,5.7370544380717075
187,188,PSD,,,#F28C26,5.324685425778945,5.970571590433976
188,189,PSD,,,#F28C26,5.064099630470963,6.193132885112659
189,190,PSD,,,#F28C26,4.794221332090776,6.404329927394883
190,191,PSD,,,#F28C26,4.228584250102736,6.7911026527201805
191,192,PSD,,,#F28C26,3.9338633971648305,6.965968616958217
192,193,PSD,,,#F28C26,3.6319239979163744,7.128052193506942
193,194,PSD,,,#F28C26,3.3233201040150915,7.277055962836147
194,195,PSD,,,#F28C26,3.0086179963087982,7.4127065065525715
195,196,PS,,,#F74B71,2.6883951457234407,7.534754909116198
196,197,PS,,,#F74B71,2.033746673547897,7.737174837615656
197,198,PS,,,#F74B71,1.7005223164238146,7.817174927769276
198,199,PS,,,#F74B71,1.3641775410609913,7.882830686781544
199,200,PS,,,#F74B71,1.025329532168743,7.934021637887222
200,201,PS,,,#F74B71,0.6846000678307187,7.970653846901531
201,202,PS,,,#F74B71,0.3426143785568201,7.9926600945871655
202,203,PS,,,#F74B71,-0.34261437855681914,7.9926600945871655
203,204,PS,,,#F74B71,-0.6846000678307177,7.970653846901532
204,205,PS,,,#F74B71,-1.0253295321687421,7.934021637887222
205,206,PS,,,#F74B71,-1.3641775410609904,7.882830686781544
206,207,PS,,,#F74B71,-1.700522316423812,7.817174927769276
207,208,PS,,,#F74B71,-2.033746673547894,7.737174837615657
208,209,PS,,,#F74B71,-2.68839514572344,7.534754909116198
209,210,PS,,,#F74B71,-3.0086179963087973,7.412706506552572
210,211,PS,,,#F74B71,-3.3233201040150906,7.2770559628361475
211,212,PS,,,#F74B71,-3.6319239979163735,7.128052193506943
212,213,PS,,,#F74B71,-3.9338633971648314,6.965968616958217
213,214,PS,,,#F74B71,-4.2285842501027355,6.791102652720181
214,215,PS,,,#F74B71,-4.794221332090776,6.404329927394883
215,216,PS,,,#F74B71,-5.064099630470962,6.193132885112661
216,217,PS,,,#F74B71,-5.324685425778945,5.970571590433976
217,218,PS,,,#F74B71,-5.575500549242347,5.737054438071709
218,219,PS,,,#F74B71,-5.816084761040591,5.493009926478508
219,220,PS,,,#F74B71,-6.045996594834065,5.238885871562282
220,221,PS,,,#F74B71,-6.472135954999579,4.702282018339786
221,222,PS,,,#F74B71,-6.6675815257225395,4.420786875415223
222,223,PS,,,#F74B71,-6.850792242012711,4.1311796931116955
223,224,PS,,,#F74B71,-7.021431916538044,3.8339918937604565
224,225,PS,,,#F74B71,-7.1791874295308675,3.5297688099457707
225,226,PS,,,#F74B71,-7.454912233691618,2.902461642805128
226,227,PS,,,#F74B71,-7.572375576363919,2.580528653297073
227,228,PS,,,#F74B71,-7.675943788915979,2.2538604547314374
228,229,PS,,,#F74B71,-7.76542682612682,1.923056475527941
229,230,PS,,,#F74B71,-7.840660488739147,1.5887237331659665
