id|party|title|text_url|entry_date|publication_date|dar_ref|authors|number_authors
469/J/XV/1|CH|Procede à alteração do Decreto-Lei n.º 116/2019, de 21 de agosto, que estabelece o modelo de cogestão das áreas protegidas, visando reformular e otimizar as estruturas funcionais das comissões de cogestão|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533830593249774d7a426d4e5330324d32526b4c5452694e3259744f474e6c595330784e474d795a47513359324535593259755a47396a65413d3d&fich=4cb030f5-63dd-4b7f-8cea-14c2dd7ca9cf.docx&Inline=true|2023-01-06|2023-01-06 2023-01-23|18-21/141/II-A/XV/1 2-4/151/II-A/XV/1|ANDRÉ VENTURA, BRUNO NUNES, DIOGO PACHECO DE AMORIM, FILIPE MELO, GABRIEL MITHÁ RIBEIRO, JORGE GALVEIAS, PEDRO DOS SANTOS FRAZÃO, PEDRO PESSANHA, PEDRO PINTO, RITA MATIAS, RUI AFONSO, RUI PAULO SOUSA|12
468/J/XV/1|CH|Altera o Decreto-Lei n.º 3/2010 com o objetivo de diminuir os custos associados aos serviços bancários|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338344d54497a5a6d4d78595330334e5467334c54526959575574596d59344e7931685a546b774e7a6c6b4e546b794f5445755a47396a65413d3d&fich=8123fc1a-7587-4bae-bf87-ae9079d59291.docx&Inline=true|2023-01-06|2023-01-06 2023-01-17|16-18/141/II-A/XV/1 5-7/148/II-A/XV/1|ANDRÉ VENTURA, BRUNO NUNES, DIOGO PACHECO DE AMORIM, FILIPE MELO, GABRIEL MITHÁ RIBEIRO, JORGE GALVEIAS, PEDRO DOS SANTOS FRAZÃO, PEDRO PESSANHA, PEDRO PINTO, RITA MATIAS, RUI AFONSO, RUI PAULO SOUSA|12
467/J/XV/1|PAN|Prevê a atribuição de personalidade jurídica às áreas protegidas e revoga o Decreto-Lei n.º 116/2019, de 21 de agosto, que define o modelo de cogestão das referidas áreas|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338345a6a5a6d595468694e6930334f474a684c54526d5a4455744f44526b4d4331684e6a63354e6a49334e44686a4e5441755a47396a65413d3d&fich=8f6fa8b6-78ba-4fd5-84d0-a67962748c50.docx&Inline=true|2023-01-06|2023-01-06|13-16/141/II-A/XV/1|INÊS DE SOUSA REAL|1
466/J/XV/1|PAN|Põe fim aos limites de transferências por homebanking e por aplicações de pagamento operadas por terceiros no âmbito das contas de serviços mínimos bancários, procedendo à alteração do Decreto-Lei nº 27-C/2000, de 10 de março|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338334e7a5a684d57466b4e5330354e6a63304c5451344d544574596d4e695a43307a59325a6c4e5455324d7a49324e6a55755a47396a65413d3d&fich=776a1ad5-9674-4811-bcbd-3cfe55632665.docx&Inline=true|2023-01-06|2023-01-06 2023-01-10|12-13/141/II-A/XV/1 12-13/143/II-A/XV/1|INÊS DE SOUSA REAL|1
465/J/XV/1|PAN|Põe fim à cobrança de comissões bancárias abusivas a todos os titulares de crédito, procedendo à primeira alteração à Lei n.º 57/2020, de 28 de agosto|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e324578596a4d304d6931694e546c6a4c5452684d546374595445794d6930314d6d55795a6d49795a44466d4d3249755a47396a65413d3d&fich=97a1b342-b59c-4a17-a122-52e2fb2d1f3b.docx&Inline=true|2023-01-06|2023-01-06|11-12/141/II-A/XV/1|INÊS DE SOUSA REAL|1
464/J/XV/1|PCP|Revogação do aumento decretado das taxas de portagem e limitação da sua atualização ao valor correspondente ao de 2022|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533834596a51794d5455304e5330304e4451304c5451304f47597459544e68597930354e6a553159544a6c4d3251314d3245755a47396a65413d3d&fich=8b421545-4444-448f-a3ac-9655a2e3d53a.docx&Inline=true|2023-01-06|2023-01-06|9-10/141/II-A/XV/1|BRUNO DIAS, PAULA SANTOS, ALMA RIVERA, DUARTE ALVES, JOÃO DIAS, ALFREDO MAIA|6
463/J/XV/1|PCP|Elimina a natureza tributária das transgressões ocorridas em infraestruturas rodoviárias onde seja devido o pagamento de taxas de portagem  (nona alteração à Lei n.º 25/2006, de 30 de junho)|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e445134595463354e4330345a4755314c5451774e325174595759304e5330355a574a6a4e7a466b59544e684e7a63755a47396a&fich=5448a794-8de5-407d-af45-9ebc71da3a77.doc&Inline=true|2023-01-06|2023-01-06|5-9/141/II-A/XV/1|BRUNO DIAS, PAULA SANTOS, ALMA RIVERA, DUARTE ALVES, JOÃO DIAS, ALFREDO MAIA|6
462/J/XV/1|BE|Revoga o modelo de cogestão das áreas protegidas e introduz medidas para uma boa gestão das áreas protegidas (revoga o Decreto-Lei n.º 116/2019, de 21 de agosto)|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338304e574e684d7a426a4d43316a4e6a59784c545269596d49745957457a4e69316d4e4445785a6a56684d5467315a546b755a47396a&fich=45ca30c0-c661-4bbb-aa36-f411f5a185e9.doc&Inline=true|2023-01-06|2023-01-06|3-5/141/II-A/XV/1|PEDRO FILIPE SOARES, MARIANA MORTÁGUA, CATARINA MARTINS, JOANA MORTÁGUA, JOSÉ MOURA SOEIRO|5
461/J/XV/1|PAN|Aprova um regime jurídico de transparência dos contratos, acordos e outros documentos relativos a operações que determinem a utilização ou disponibilização de fundos públicos relativamente a entidades pertencentes a sectores estratégicos e procede à segunda alteração da Lei Orgânica n.º 2/2014, de 6 de Agosto|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c4e7a4e685a44646b5a5330784e5467334c545132597a4974596d49344d4330775a4449314e6d497a4f44646d4d6a4d755a47396a65413d3d&fich=e73ad7de-1587-46c2-bb80-0d256b387f23.docx&Inline=true|2023-01-04|2023-01-04|22-25/139/II-A/XV/1|INÊS DE SOUSA REAL|1
460/J/XV/1|PAN|Aprova um regime transitório de isenção de execução de penhora de bens imóveis para a satisfação de garantia real de créditos hipotecários|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338774d47566b596a63304f533078596a6b774c545179597a49744f5451774f5330794d444d335a6a4933597a51354d7a49755a47396a65413d3d&fich=00edb749-1b90-42c2-9409-2037f27c4932.docx&Inline=true|2023-01-04|2023-01-04|21-22/139/II-A/XV/1|INÊS DE SOUSA REAL|1
